2026-09-12 09:28:41 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-12 09:28:41 | INFO | MY-AI.database | Connected to local database at d:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-12 09:28:41 | INFO | MY-AI.database | Database initialization successful.
2026-09-12 09:28:41 | INFO | MY-AI.application | Detecting hardware...
2026-09-12 16:03:10 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-12 16:03:10 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-12 16:03:10 | INFO | MY-AI.database | Database initialization successful.
2026-09-12 16:03:10 | INFO | MY-AI.application | Detecting hardware...
2026-09-12 16:03:11 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 0, 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-09-12 16:03:11 | INFO | MY-AI.application | Initializing UI...
2026-09-12 16:03:37 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-12 16:03:37 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-12 16:03:37 | INFO | MY-AI.database | Database initialization successful.
2026-09-12 16:03:37 | INFO | MY-AI.application | Detecting hardware...
2026-09-12 16:03:39 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 0, 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-09-12 16:03:39 | INFO | MY-AI.application | Initializing UI...
2026-09-12 16:03:39 | INFO | MY-AI.application | MY-AI started.
2026-09-12 20:42:55 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-12 20:42:55 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-12 20:42:55 | INFO | MY-AI.database | Database initialization successful.
2026-09-12 20:42:55 | INFO | MY-AI.application | Detecting hardware...
2026-09-12 21:26:04 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-12 21:26:04 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-12 21:26:04 | INFO | MY-AI.database | Database initialization successful.
2026-09-12 21:26:04 | INFO | MY-AI.application | Detecting hardware...
2026-09-12 21:26:16 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 0, 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-09-12 21:26:16 | INFO | MY-AI.application | Initializing UI...
2026-09-12 21:26:16 | INFO | MY-AI.application | MY-AI started.
