2026-09-10 15:00:48 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-10 15:00:48 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-10 15:00:48 | INFO | MY-AI.database | Database initialization successful.
2026-09-10 15:00:48 | INFO | MY-AI.application | Detecting hardware...
2026-09-10 15:00:48 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-09-10 15:00:48 | INFO | MY-AI.application | Initializing UI...
2026-09-10 15:00:53 | INFO | MY-AI.application | MY-AI started.
2026-09-10 15:01:42 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-10 15:01:42 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-10 15:01:42 | INFO | MY-AI.database | Database initialization successful.
2026-09-10 15:01:42 | INFO | MY-AI.application | Detecting hardware...
2026-09-10 15:01:42 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-09-10 15:01:42 | INFO | MY-AI.application | Initializing UI...
2026-09-10 15:01:42 | INFO | MY-AI.application | MY-AI started.
2026-09-10 15:02:49 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-10 15:02:49 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-10 15:02:49 | INFO | MY-AI.database | Database initialization successful.
2026-09-10 15:02:49 | INFO | MY-AI.application | Detecting hardware...
2026-09-10 15:02:49 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-09-10 15:02:49 | INFO | MY-AI.application | Initializing UI...
2026-09-10 15:02:50 | INFO | MY-AI.application | MY-AI started.
2026-09-10 15:05:35 | INFO | MY-AI.application | MY-AI shutting down...
2026-09-10 15:05:35 | INFO | MY-AI.database | Database connection closed.
2026-09-10 15:06:48 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-10 15:06:48 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-10 15:06:48 | INFO | MY-AI.database | Database initialization successful.
2026-09-10 15:06:48 | INFO | MY-AI.application | Detecting hardware...
2026-09-10 15:06:48 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-09-10 15:06:48 | INFO | MY-AI.application | Initializing UI...
2026-09-10 15:06:48 | INFO | MY-AI.application | MY-AI started.
2026-09-10 15:07:09 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-10 15:07:09 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-10 15:07:09 | INFO | MY-AI.database | Database initialization successful.
2026-09-10 15:07:09 | INFO | MY-AI.application | Detecting hardware...
2026-09-10 15:07:09 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-09-10 15:07:09 | INFO | MY-AI.application | Initializing UI...
2026-09-10 15:07:09 | INFO | MY-AI.application | MY-AI started.
2026-09-10 15:09:34 | INFO | MY-AI.application | MY-AI shutting down...
2026-09-10 15:09:34 | INFO | MY-AI.database | Database connection closed.
2026-09-10 15:10:08 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-10 15:10:08 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-10 15:10:08 | INFO | MY-AI.database | Database initialization successful.
2026-09-10 15:10:08 | INFO | MY-AI.application | Detecting hardware...
2026-09-10 15:10:08 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-09-10 15:10:08 | INFO | MY-AI.application | Initializing UI...
2026-09-10 15:10:08 | INFO | MY-AI.application | MY-AI started.
2026-09-10 15:10:39 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-10 15:10:39 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-10 15:10:39 | INFO | MY-AI.database | Database initialization successful.
2026-09-10 15:10:39 | INFO | MY-AI.application | Detecting hardware...
2026-09-10 15:10:39 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-09-10 15:10:39 | INFO | MY-AI.application | Initializing UI...
2026-09-10 15:10:40 | INFO | MY-AI.application | MY-AI started.
2026-09-10 15:16:30 | INFO | MY-AI.application | MY-AI shutting down...
2026-09-10 15:16:30 | INFO | MY-AI.database | Database connection closed.
2026-09-10 15:18:13 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-10 15:18:13 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-10 15:18:13 | INFO | MY-AI.database | Database initialization successful.
2026-09-10 15:18:13 | INFO | MY-AI.application | Detecting hardware...
2026-09-10 15:18:13 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-09-10 15:18:13 | INFO | MY-AI.application | Initializing UI...
2026-09-10 15:18:14 | INFO | MY-AI.application | MY-AI started.
2026-09-10 15:20:09 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-10 15:20:09 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-10 15:20:09 | INFO | MY-AI.database | Database initialization successful.
2026-09-10 15:20:09 | INFO | MY-AI.application | Detecting hardware...
2026-09-10 15:20:09 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-09-10 15:20:09 | INFO | MY-AI.application | Initializing UI...
2026-09-10 15:20:10 | INFO | MY-AI.application | MY-AI started.
2026-09-10 15:20:15 | INFO | MY-AI.application | MY-AI shutting down...
2026-09-10 15:20:15 | INFO | MY-AI.database | Database connection closed.
2026-09-10 15:23:10 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-10 15:23:10 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-10 15:23:10 | INFO | MY-AI.database | Database initialization successful.
2026-09-10 15:23:10 | INFO | MY-AI.application | Detecting hardware...
2026-09-10 15:23:10 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-09-10 15:23:10 | INFO | MY-AI.application | Initializing UI...
2026-09-10 15:23:10 | INFO | MY-AI.application | MY-AI started.
2026-09-10 15:24:27 | INFO | MY-AI.application | Initializing MY-AI application...
2026-09-10 15:24:27 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-09-10 15:24:27 | INFO | MY-AI.database | Database initialization successful.
2026-09-10 15:24:27 | INFO | MY-AI.application | Detecting hardware...
