2026-08-11 14:35:18 | INFO | MY-AI.application | Initializing MY-AI application...
2026-08-11 14:35:18 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-08-11 14:35:18 | INFO | MY-AI.database | Database initialization successful.
2026-08-11 14:35:18 | INFO | MY-AI.application | Detecting hardware...
2026-08-11 14:35:29 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-08-11 14:35:29 | INFO | MY-AI.application | Initializing UI...
2026-08-11 14:35:35 | INFO | MY-AI.application | MY-AI started.
2026-08-11 14:35:42 | INFO | MY-AI.application | MY-AI shutting down...
2026-08-11 14:35:42 | INFO | MY-AI.database | Database connection closed.
2026-08-11 15:44:34 | INFO | MY-AI.sft_training | === Starting ZYRA SFT Pipeline ===
2026-08-11 15:44:34 | INFO | MY-AI.sft_training | Using device: cpu
2026-08-11 15:44:34 | ERROR | MY-AI.sft_training | CUDA is required for SFT. Exiting.
2026-08-11 15:57:50 | INFO | MY-AI.sft_training | === Starting ZYRA SFT Pipeline ===
2026-08-11 15:57:51 | INFO | MY-AI.sft_training | Using device: cuda
2026-08-11 15:57:51 | INFO | MY-AI.sft_training | Loaded tokenizer from mock_tokenizer_real. Vocab size: 1
2026-08-11 15:57:51 | INFO | MY-AI.sft_training | Loading Base Checkpoint: checkpoints/pilot\step_00000105_INTERRUPTED.pt
2026-08-11 16:01:46 | INFO | MY-AI.sft_training | === Starting ZYRA SFT Pipeline ===
2026-08-11 16:01:48 | INFO | MY-AI.sft_training | Using device: cuda
2026-08-11 16:01:48 | INFO | MY-AI.sft_training | Loaded tokenizer from mock_tokenizer_real. Vocab size: 1
2026-08-11 16:01:48 | INFO | MY-AI.sft_training | Loading Base Checkpoint: checkpoints/pilot\step_00000105_INTERRUPTED.pt
2026-08-11 16:05:28 | INFO | MY-AI.sft_training | === Starting ZYRA SFT Pipeline ===
2026-08-11 16:05:28 | INFO | MY-AI.sft_training | Using device: cuda
2026-08-11 16:05:28 | INFO | MY-AI.sft_training | Loaded tokenizer from mock_tokenizer_real. Vocab size: 1
2026-08-11 16:05:28 | INFO | MY-AI.sft_training | Loading Base Checkpoint: checkpoints/pilot\step_00000105_INTERRUPTED.pt
2026-08-11 16:05:30 | INFO | MY-AI.sft_training | Starting SFT Sanity Check Training Loop...
2026-08-11 16:05:30 | ERROR | MY-AI.sft_training | SFT Training Failed: '<|unk|>'
2026-08-11 16:07:01 | INFO | MY-AI.sft_training | === Starting ZYRA SFT Pipeline ===
2026-08-11 16:07:01 | INFO | MY-AI.sft_training | Using device: cpu
2026-08-11 16:07:01 | WARNING | MY-AI.sft_training | CUDA is not available. Falling back to CPU for testing.
2026-08-11 16:07:01 | INFO | MY-AI.sft_training | Loaded tokenizer from mock_tokenizer_real. Vocab size: 1
2026-08-11 16:07:01 | INFO | MY-AI.sft_training | Loading Base Checkpoint: checkpoints/pilot\step_00000105_INTERRUPTED.pt
2026-08-11 16:07:04 | INFO | MY-AI.sft_training | Starting SFT Sanity Check Training Loop...
2026-08-11 16:08:40 | INFO | MY-AI.sft_training | === Starting ZYRA SFT Pipeline ===
2026-08-11 16:08:42 | INFO | MY-AI.sft_training | Using device: cuda
2026-08-11 16:08:42 | INFO | MY-AI.sft_training | Loaded tokenizer from mock_tokenizer_real. Vocab size: 1
2026-08-11 16:08:42 | INFO | MY-AI.sft_training | Loading Base Checkpoint: checkpoints/pilot\step_00000105_INTERRUPTED.pt
2026-08-11 16:08:44 | INFO | MY-AI.sft_training | Starting SFT Sanity Check Training Loop...
2026-08-11 16:08:56 | INFO | MY-AI.sft_training | SFT Training Completed Successfully.
2026-08-11 16:19:15 | INFO | MY-AI.application | Initializing MY-AI application...
2026-08-11 16:19:15 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-08-11 16:19:15 | INFO | MY-AI.database | Database initialization successful.
2026-08-11 16:19:15 | INFO | MY-AI.application | Detecting hardware...
2026-08-11 16:19:15 | INFO | MY-AI.application | Hardware detected: {'os': 'Windows 11', 'cpu': 'Intel64 Family 6 Model 183 Stepping 1, GenuineIntel', 'ram_total_gb': 63.71, 'gpu': 'Unknown GPU', 'vram_gb': 'Unknown', 'cuda_available': False, 'pytorch_version': '2.13.0+cpu', 'cuda_version': 'N/A'}
2026-08-11 16:19:15 | INFO | MY-AI.application | Initializing UI...
2026-08-11 16:20:05 | INFO | MY-AI.application | Initializing MY-AI application...
2026-08-11 16:20:05 | INFO | MY-AI.database | Connected to local database at D:\Semester 5\AI\my_ai\database\my_ai.sqlite
2026-08-11 16:20:05 | INFO | MY-AI.database | Database initialization successful.
2026-08-11 16:20:05 | INFO | MY-AI.application | Detecting hardware...
